town,breast_cancer_rate,breast_cancer_number,HIV_rate,HIV_number,poverty_rate
LUNENBURG,114.7,32,60,6,7.3
LYNN,113.6,270,398.1,367,21
LYNNFIELD,177.7,71,43.3,5,1.6
MALDEN,120.5,196,417.8,237,16
MANCHESTER BY THE SEA,195.3,40,,,
MANSFIELD,154.1,74,48,11,
MARBLEHEAD,157.3,110,54.2,11,5.4
MARION,133.6,27,94.1,5,
MARLBOROUGH,125.6,130,131.9,49,7.2
MARSHFIELD,174.8,116,76.4,19,3.7
MASHPEE,168.9,82,70.6,10,
MATTAPOISETT,82.9,19,154.4,10,
MAYNARD,137.6,42,,,7.8
MEDFIELD,168.8,57,48.7,6,7
MEDFORD,148.1,260,276.9,149,9.8
MEDWAY,101,32,62.6,8,
MELROSE,135.9,123,132.7,35,4.1
MENDON,199.1,23,,,
MERRIMAC,172.4,30,,,
METHUEN,131.8,185,141.5,63,
MIDDLEBOROUGH,125.2,72,80.4,17,
MIDDLEFIELD,,,0,0,
MIDDLETON,167.4,36,132.2,12,
MILFORD,123.4,96,79.9,22,11.4
MILLBURY,142.1,60,111.6,15,
MILLIS,184.8,37,88.1,7,
MILLVILLE,100.8,6,0,0,
MILTON,162.1,142,156.2,41,4.9
MONROE,0,0,0,0,
MONSON,126.6,32,,,
MONTAGUE,148.3,39,166.3,14,
MONTEREY,167.7,7,0,0,
MONTGOMERY,,,,,
MOUNT WASHINGTON,0,0,0,0,
NAHANT,123,19,,,2.9
NANTUCKET,164.2,42,217.9,22,11.2
NATICK,133.7,138,75.2,24,
NEEDHAM,169.5,164,28.1,8,3.5
NEW ASHFORD,,,,,
NEW BEDFORD,106.7,312,483.6,457,23.5
NEW BRAINTREE,,,0,0,
NEW MARLBOROUGH,,,,,
NEW SALEM,,,0,0,
NEWBURY,163.7,34,,,
NEWBURYPORT,119.8,74,63.2,11,8.4
NEWTON,173.8,464,106.8,89,5.7
NORFOLK,175.9,36,57.1,6,
NORTH ADAMS,103.2,49,57,8,19.4
NORTH ANDOVER,145.9,116,55.3,15,
NORTH ATTLEBORO,151.2,110,64.1,18,
NORTH BROOKFIELD,131.8,17,,,9
NORTH READING,156.2,62,,,
